"ESV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ESV47.1438","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","Clostridium_saudiense"
"ESV48.1464","Bacteria","Firmicutes","denovo_c_2","DTU014","denovo_f_48","denovo_g_48","denovo_s_48"
"ESV49.1472","Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","W5","denovo_s_49"
"ESV50.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","denovo_s_13"
"ESV51.1460","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas","denovo_s_51"
"ESV52.1454","Bacteria","Firmicutes","D8A-2","denovo_o_11","denovo_f_11","denovo_g_11","denovo_s_11"
"ESV53.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter","Terrisporobacter_mayombei"
"ESV54.1441","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","denovo_g_54","denovo_s_54"
"ESV55.1446","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group","denovo_s_55"
"ESV56.1442","Bacteria","Armatimonadota","denovo_c_56","denovo_o_56","denovo_f_56","denovo_g_56","denovo_s_56"
"ESV57.1442","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Tetrasphaera","denovo_s_19"
"ESV58.1456","Bacteria","Firmicutes","D8A-2","denovo_o_11","denovo_f_11","denovo_g_58","denovo_s_58"
"ESV59.1446","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group","denovo_s_59"
"ESV60.1471","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","denovo_s_60"
"ESV61.1457","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax","denovo_s_61"
"ESV62.1456","Bacteria","Firmicutes","Clostridia","Hungateiclostridiaceae","Fastidiosipila","denovo_g_6","denovo_s_6"
"ESV63.1452","Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","denovo_f_21","denovo_g_21","denovo_s_21"
"ESV64.1433","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","denovo_s_64"
"ESV65.1471","Bacteria","Caldatribacteriota","JS1","denovo_o_65","denovo_f_65","denovo_g_65","denovo_s_65"
"ESV66.1456","Bacteria","Firmicutes","Clostridia","Hungateiclostridiaceae","Fastidiosipila","denovo_g_6","denovo_s_6"
"ESV67.1473","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","denovo_f_67","denovo_g_67","denovo_s_67"
"ESV68.1440","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Brooklawnia","denovo_s_68"
"ESV69.1479","Bacteria","Caldatribacteriota","Caldatribacteriia","Caldatribacteriales","Caldatribacteriaceae","Ca_Caldatribacterium","denovo_s_69"
"ESV70.1456","Bacteria","Firmicutes","denovo_c_2","denovo_o_17","denovo_f_30","denovo_g_70","denovo_s_70"
"ESV71.1455","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","W5053","denovo_g_71","denovo_s_71"
"ESV72.1437","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","ADurb.Bin120","denovo_s_72"
"ESV73.1454","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","denovo_g_73","denovo_s_73"
"ESV74.1434","Bacteria","Chloroflexi","Anaerolineae","SBR1031","denovo_f_74","denovo_g_74","denovo_s_74"
"ESV75.1469","Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","Ca_Cloacimonas","denovo_s_75"
"ESV76.1455","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","W5053","denovo_g_71","denovo_s_71"
"ESV77.1453","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Acetomicrobium","denovo_s_43"
"ESV78.1455","Bacteria","Firmicutes","D8A-2","denovo_o_11","denovo_f_11","denovo_g_11","denovo_s_78"
"ESV79.1471","Bacteria","Caldatribacteriota","JS1","denovo_o_65","denovo_f_65","denovo_g_65","denovo_s_65"
