"ESV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ESV204.1446","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group","denovo_s_204"
"ESV205.1449","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","denovo_g_10","denovo_s_10"
"ESV206.1453","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","p-1088-a5_gut_group","denovo_s_206"
"ESV207.1473","Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","denovo_f_207","denovo_g_207","denovo_s_207"
"ESV208.1402","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter","denovo_s_208"
"ESV209.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Intestinibacter","Intestinibacter_bartlettii"
"ESV210.1442","Bacteria","Firmicutes","Clostridia","Gracilibacteraceae","Gracilibacter","denovo_g_210","denovo_s_210"
"ESV211.1427","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Sedimentibacteraceae","Sedimentibacter","denovo_s_211"
"ESV212.1441","Bacteria","Bacteroidota","SJA-28","denovo_o_114","denovo_f_114","denovo_g_114","denovo_s_212"
"ESV213.1482","Bacteria","Desulfobacterota","Syntrophorhabdia","Syntrophorhabdales","Syntrophorhabdaceae","Syntrophorhabdus","denovo_s_22"
"ESV214.1450","Bacteria","Armatimonadota","denovo_c_56","denovo_o_56","denovo_f_56","denovo_g_214","denovo_s_214"
"ESV215.1446","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group","denovo_s_55"
"ESV216.1462","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobium","denovo_s_216"
"ESV217.1458","Bacteria","Firmicutes","D8A-2","denovo_o_11","denovo_f_11","denovo_g_217","denovo_s_217"
"ESV218.1449","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter","denovo_s_218"
"ESV219.1408","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","denovo_g_137","denovo_s_219"
"ESV220.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Intestinibacter","Intestinibacter_bartlettii"
"ESV221.1460","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Zoogloea","Zoogloea_ramigera"
"ESV222.1407","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","denovo_g_80","denovo_s_80"
"ESV223.1451","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Petrimonas","Petrimonas_mucosa"
"ESV224.1452","Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","denovo_f_21","denovo_g_21","denovo_s_21"
"ESV225.1426","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Proteiniclasticum","denovo_s_225"
"ESV226.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","denovo_s_13"
"ESV227.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","denovo_s_13"
"ESV228.1443","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia","denovo_s_228"
"ESV229.1450","Bacteria","Patescibacteria","Microgenomatia","Ca_Shapirobacteria","denovo_f_229","denovo_g_229","denovo_s_229"
"ESV230.1467","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","denovo_g_230","denovo_s_230"
"ESV231.1444","Bacteria","Armatimonadota","denovo_c_56","denovo_o_56","denovo_f_56","denovo_g_56","denovo_s_231"
"ESV232.1439","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","denovo_g_232","denovo_s_232"
"ESV233.1435","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","denovo_s_233"
"ESV234.1496","Bacteria","Caldatribacteriota","Caldatribacteriia","Caldatribacteriales","Caldatribacteriaceae","Ca_Caldatribacterium","denovo_s_39"
"ESV235.1455","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","W5053","denovo_g_71","denovo_s_71"
"ESV236.1439","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propionicimonas","denovo_s_236"
"ESV237.1444","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","IMCC26207","denovo_s_237"
"ESV238.1434","Bacteria","Chloroflexi","Anaerolineae","SBR1031","denovo_f_74","denovo_g_74","denovo_s_74"
"ESV239.1444","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","IMCC26207","denovo_s_237"
"ESV240.1433","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","denovo_s_64"
"ESV241.1566","Bacteria","Firmicutes","Dethiobacteria","Dethiobacterales","Dethiobacteraceae","denovo_g_40","denovo_s_241"
"ESV242.1463","Bacteria","Firmicutes","denovo_c_2","DTU014","denovo_f_25","denovo_g_242","denovo_s_242"
"ESV243.1448","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","denovo_g_243","denovo_s_243"
"ESV244.1441","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","denovo_g_176","denovo_s_244"
"ESV245.1446","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group","denovo_s_190"
"ESV246.1449","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","denovo_g_10","denovo_s_246"
"ESV247.1423","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Leptolinea","denovo_s_247"
"ESV248.1440","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Brooklawnia","denovo_s_68"
"ESV249.1426","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Intestinibacter","Intestinibacter_bartlettii"
"ESV250.1448","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","denovo_g_112","denovo_s_112"
"ESV251.1491","Bacteria","Patescibacteria","Dojkabacteria","denovo_o_91","denovo_f_251","denovo_g_251","denovo_s_251"
"ESV252.1442","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group","denovo_s_17"
"ESV253.1424","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","denovo_g_148","denovo_s_148"
"ESV254.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","denovo_s_13"
"ESV255.1468","Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","Ca_Cloacimonas","denovo_s_255"
